id,english
1,angry
2,azure
3,block
4,basil
5,codex
6,check
7,docks
8,dizzy
9,exact
10,equip
11,enzym
12,fuzzy
13,force
14,fifty
15,gauze
16,gipsy
17,hazel
18,happy
19,hobby
20,index
21,icing
22,jumbo
23,jetty
24,japan
25,knack
26,kebab
27,linux
28,lobby
29,magma
30,mafia
31,magic
32,nacho
33,notch
34,octyl
35,offer
36,owned
37,punky
38,pizza
39,puppy
40,quack
41,queen
42,repay
43,rhyme
44,squid
45,spiky
46,toxic
47,toque
48,thank
49,unify
50,uncut
51,unpin
52,vodka
53,vroom
54,value
55,wacky
56,wrack
57,woman
58,xenia
59,youth
60,zebra